Chunk_ID,Context_Text,Is_Climax
C00357,"[ROW] 
【前文回顾】: 牧尘嘴角掀起一抹嘲讽，旋即背对着方云挥了挥手，然后迈步走入森林，身影也是被阴影所笼罩。 “混蛋！” 方云恨恨的咬了咬牙，却是只能颓丧的放弃，在那远处的天空上，众多虎视眈眈的强队，也是遗憾的叹了一口气。 这个牧尘，实在是太强了。 不过他们却并不知道，在牧尘迈进阴影之中时，他的面庞却是瞬间苍白起来，他的手掌微微的颤抖着，体内的灵力仿佛都是在此时剧烈的沸腾着。 牧尘黑色的眸子中，似乎是有着火焰在燃烧，旋即他轻轻的扯了扯嘴角，因为他知道这代表着什么...
【前文回顾】: 他的神魄难来临了。 幽暗的森林之中，依旧是那座古老的大殿之外，沈苍生，李玄通，苏萱四人皆是静静的盘坐，他们的面色略微有些苍白，周身的灵力波动，已是显得格外的虚弱。 显然，他们灵力消耗太大了。 牧尘站在那座藏灵院大门之外，他看了一眼紧闭的院门，上一次所出现的院灵，此次却并没有再出现，这座藏灵院，仿佛也是变得普通下来，再也无法进入。 牧尘手掌捂着胸膛，眼中有着火焰在熊熊燃烧，他整个身体都是在此时处于一种高温状态，甚至连灵力都有着燃烧的迹象。
【当前段落】: 那是神魄难来临的征兆。 “牧尘，你没事吧？”苏萱毕竟是女孩子，心细如发，当即察觉到了牧尘身体细微的颤抖，不由得上前将他搀扶住，而当她玉手接触到牧尘皮肤时，顿时被那滚烫的温度吓了一跳。 “没事，神魄难要来了。” 牧尘摆了摆手，旋即在那藏灵院大门口盘坐下来，目光看向沈苍生他们，道：“在这森林之中，无法动用灵力，不过你们只要佩戴着我给你们的玉盘，便是能够隔绝这种影响。” “虽然我们现在暂时安全了，不过为了保险起见，我们分成两组轮流休整，以免被人潜入进来干扰。”",0
C00743,"[ROW] 
【前文回顾】: “所以在那黄金大殿中，她最后也一起遭遇了真魔，这岂不是更加说明我所说属实。”李洛说道。秦莲一滞，皱眉问道：“那最后的神秘王级强者呢？他可不是异类，在秦漪失去感知的那段时间中，你们发生了什么？还有那个李灵净呢？那王级强者的目的究竟 是什么？” 她接连逼问，语气尖锐。 李洛沉默了一下，道：“那名王级强者，自称“灵眼冥王”，来自归一会。” “灵眼冥王？归一会？！”这个信息一吐出来，在场各方强者纷纷色变，面色也是彻底的变得凝重起来，因为“归一会”这个诡异的势力，在外神州或许还少有人知，但在内神州，各方势力
【前文回顾】: 对其都不算陌生，甚至还与其打过交道。因为“归一会”太不安分，他们与异类走得极近，而且他们所宣扬的理念，也与整个人族所冲突，他们信奉所谓的“善恶归一”，觉得不能封锁异类，反而应该将它 们放进整个世界中，以此来达成一种大融合。 为此，他们在整个世界兴风作浪，主动引出异类，造成肆虐的“异灾”，形成万里鬼蜮，其内生灵尽数被灭绝。 这么多年下来，已经有不知道多少势力被“归一会”所引发的“异灾”给摧毁。 各方势力，皆是对其深恶痛绝。
【当前段落】: 但无数的仇视，并不妨碍“归一会”的存在，它几乎是这天地间最为神秘诡异的势力，其底蕴古老悠久，远比众多天王级势力还要强横。 连那学府联盟，与其纠缠那么多年，都未能将其对付。 所以对于这“归一会”，恐怕各方势力，不论人族还是精兽种族，都对其满怀忌惮与戒备。 而此次，灵相洞天中不仅出现了“归一会”，而且还出现了一位王级强者！ 王级，即便是在归一会这等神秘诡异的势力中，都是巨头人物！ 所以，当众人听见李洛此话时，皆是纷纷惊骇。“这些信息，都是那位王级强者自己说的，至于究竟为了什么而来，我也不知道，因为我也和秦漪一样，被其封闭了感知，等我清醒过来时，那名王级强者也就不",0
C01144,"[ROW] 
【前文回顾】: “还好我最先所到的这份残图上面着净莲妖火的图案。不然的话。恐怕连老师都不会由这份残破的图联想到那异火榜排名第三的净莲妖火上去。而如果我们并不知道的图的确切底细。就算是在别的的方遇见了相同的残图。恐怕不会像如今这般。冒着被斗皇强者以及一庞大势力追杀的危险。来抢这些的图啊”对着的图失神了一会萧炎忽然有些庆幸的喃喃道。 心中在庆幸了半晌后。萧炎便是|心翼翼的将的图收好。手掌一翻。一个冒着白色雾气的寒玉盒。现了出来。
【前文回顾】: 眼睛直直的盯着寒玉盒子。萧炎喉咙微微滚动了一下。那原本平静下来的心脏。却是再度剧烈的跳动了起来。在这等奇宝面前。萧炎的定力也是被削弱了许多 手掌小心的掀开一丝盒缝。一缕金光顿时便是射了出来啊。见状。萧炎赶忙将之盖下。那慎模样。生怕引来什么强者。竟。在阴阳玄龙丹这种天价宝贝的诱惑下。除了少数等级已经达到某种级别的强者或者无欲无求的人之外。恐怕很多人都会遮掩不住心中的贪婪。进而直接杀人夺宝。而那种人。在这黑角域中。似乎可以少的忽略不计
【当前段落】: “吃了它吧。留在上。不安全”淡淡的声音。忽然的在萧炎心中响起。 “呃？啥？”闻言。萧炎一怔。一时间竟没有回过神来。 “我说。让你服下枚阴阳玄龙丹！”瞧的萧炎那愣头愣脑的模样。药老只无奈的再复句。 “在这里？”萧炎满脸错愕。这可是七品丹药啊。就这般在这并算不安全的的方就服|？以前他服三纹青灵丹时。还的找个安全没人打扰的的方好好炼药力呢。 “别废话了。吃了！”药老不耐的催促道。 苦笑声。萧炎只的点了点头。小心翼翼的掀开寒玉盒子。在盒盖掀开的霎那。他猛然一把将之覆盖在了手心。然后手掌上。淡青色的斗气涌盛而出。将那即将暴射天空的光挡了下去。",1
C00840,"[ROW] 
【前文回顾】: “也不用谢我，我只是做我份内的事，如果云岚宗那张通缉令被官方所承认，那我也只能拿下你，不过还好木铁摆了摆手，斜瞥了一眼脸色铁青的蒙力，笑道：“只要你能从这个家伙手中离去，那么这“镇鬼关”便是再无人阻你去路。” “如此，那便多谢了。”闻言，萧炎脸庞上不由得流溢出一抹森然，转头望向蒙力，轻笑道：“蒙力副统领，想要我的人头去云岚宗领赏，便请自己动手吧 “小混蛋，好大的口气，我今天就不信，我还收拾不了你这重伤之体！”
【前文回顾】: 脸庞一阵青一阵白，蒙力没想到这次竟然会把自己的套了进去，说实话，他心中很是有些惧怕萧炎的那些手段，毕竟连云棱那种强，都是栽在了萧炎手中，可这种时候，他若是气软了的话，恐怕在这“镇鬼关”中，他的声望将会跌落至谷底，因此，即使心中忐忑，他也唯有硬着头皮上了。 神秘势力，魂殿？ 城门之口，黑压压的大群人围拢再此，一道道目光，夹杂着许些期盼与好奇的停留在空旷地带的两人身上，这段时间，萧炎的名头，几乎已经让得所有加玛帝国的人所知晓，而对于这个胆敢以一己之力抗衡整个云岚宗的传奇人物，很多人都仅仅是听说过，而如今有幸亲眼见到他出手，当下无不是满脸期待，他们很想知道，那传得沸沸扬扬的消息，究竟是否属实？这个年龄不过二十岁的年轻人，真的有能够击杀斗王强者的实力？
【当前段落】: 木铁双臂环在胸前，犹如一尊黑色铁塔般，安静的站立着，可却不怒自威的散发出一股令人头皮发麻的压迫感，从他这不经意间所散发而出的气势来看，其实力明显远远超过了蒙力，按萧炎的猜测，这位中年大汉，恐怕已经到了斗灵巅峰级别他的年龄，就算其修炼天赋不错，这也是有些令人咂舌了，当然，这之中，应该少不了常年血战的缘故，战场的生死战斗，始终都是催人快速成长的修炼圣地 此时的木铁，也是饶有兴致的盯着那抽出了巨大黑尺的萧炎，这个极其特殊的武器，如今几乎成了这个年轻人的标志，因为这，现在的加玛帝国中，甚至有不少年轻人，都是开始流行起使用这种另类的武器，当然，以木铁的眼光，自然是不会认为，那些模仿者的尺子，能够和萧炎那把古怪黑尺相比，因为，在先前那黑尺出现时，木铁清楚的感应到，萧炎的身子竟然略微下沉了一点，显然，那尺子的重量，可不容小觑。",0
C00670,"[ROW] 
【前文回顾】: “谢谢老师。”萧炎轻松了一口气。感激地轻声道。 “呵呵。我们间还用谈那谢么？”药老笑了笑。旋即声音中多了一分凝重：“小家伙。现在我们还在云岚宗势力范围之中。所以必须得尽快离开。虽然连吃了两记佛怒火莲。云山定然也受伤不轻。可云岚宗那些长老以及执事。也并非是吃素地啊。而且有个斗皇强云韵在地我。也因为那两记佛怒火莲消耗了过多地灵魂力量。至少。不能再像以前那样。提供你随意挥霍地能量了。再。先前云山地那一击。在你体内残留了一些印记能量。现在地我。还只能尽量压抑住那印记能量所散出地波动。若是强行摧毁地话。云山会立刻有所感应地。”
【前文回顾】: 萧炎默默地点了点头。拳头逐渐紧握而起。仰起头。视线透过树叶地密缝。望着那蔚蓝地天空。他心中也清楚云山对他地杀意。此刻地云岚宗。恐怕已经在倾全宗之力。来围剿自己了吧？以他现在地状况。顶多只能应付一些云岚宗弟子。若是被那些执事甚至长老撞见地话。就算能够撑下去。可若是对方想要将他拖延住地话。也并不会太过困难。而到时候只要云岚宗队伍闻声赶来。他萧炎。或许就得真正地葬身在这无尽森林中了。 “先往这深山里躲一下云岚宗地搜寻部队吧。现在我所受地伤也不轻。若是不将伤先养好。恐怕连逃都成问题。”萧炎抹去嘴角残留地血迹。低声道。
【当前段落】: “嗯，也好，炼药师倒是不愁什么伤势，虽然你这次受伤挺重，呵呵，不过既然老师已经苏醒，自然会让得你以最快的速度恢复。”药老笑了笑，道。 点了点头，对于药老地炼药术，萧炎是绝对有着信心的，当下手撑着树干，缓缓直起了身子。 “此时距离你东面，南，北面，皆是有着云岚宗弟子的搜寻队伍，所以你只能对着西面森林逃了。”药老提醒道：“还有，注意天空上的身影，那些家伙大多都是云岚宗长老，实力皆是在斗王级别 的你若是不幸撞见他们，那就麻烦了。”",0
C00497,"[ROW] 
【前文回顾】: “林氏宗族，乃是大炎王朝中一等一的势力，传承数百年，底蕴雄浑无比，虽然外面一直传言林氏宗族的族长也不过只是造化境大成的实力，但对此我却是相当怀疑，那宗族之中，必然是藏龙卧虎。”慕芊芊声音轻缓地道。 林动微微点头，虽然大荒郡在大炎王朝中也算是名气不弱的大郡，而且阴傀宗，大魔门也是其中的顶尖势力，但真要与林氏宗族这等传承久远的大宗族相比的话，却是如同萤火与皓月之差。 以前所谓的造化境大成，在林动的眼中几乎是不可触及的强者，所以也没有太过清楚的概念，但随着如今实力的提升，他同样是愈发的觉得以前所听见的一些传言实在是过于荒诞，至少，林氏宗族所具备的力量，远非他所知道的那些。
【前文回顾】: 正因为如此，他才想要千方百计的封印血灵傀，为自己多掌握一张底牌。 “林氏宗族，人才济济，这宗族族会，更是诸多天才人物交锋之处，想要从中脱颖而出可不是什么简单的事，而且，林动公子与林琅天之间恩怨甚重，此人天赋惊才绝艳，放眼大炎王朝年轻一辈，能与其匹敌之人，堪称凤毛麟角，此番林动公子前去参加族会，必然会有一场龙争虎斗。”说起那林氏宗族族会时，慕芊芊也是一脸的凝重，显然是听说过这个含金量极重的族会。 “怎么？芊芊姑娘认为我并非是林琅天的对手？”林动淡笑道。
【当前段落】: “连造化境大成的腾刹都是葬身在林动公子手中，我怎敢质疑林动公子的实力，只是想要提醒林动公子，这族会之行，或许将会阻碍重重，若是如此，还不如留在大荒郡，令谋大业。”慕芊芊眼波流动，微笑道。 “哈哈，这大荒郡可拦不住我林动的心，既然芊芊姑娘不相信我不是林琅天的对手，那便在这大荒郡静候音讯，我林动一路闯来，直到如此，尚还未曾怕过谁，不管那林琅天是不是什么天之骄子，这一次，我都要让他付出真正的代价！” 林动仰天大笑一声，他也是直到这慕芊芊也是想要将他拉入大魔门，不过他却是没有半点这心思，当下看看时候，也就不再多留，嘴中传出一道口哨声，小炎便是化为一道血光暴掠而来。",0
C00751,"[ROW] 
【前文回顾】: 而就在温清璇分神抵挡着血天河攻击时，在其正前方，姬玄却是淡漠一笑，只见得那原本有些消散迹象的圣灵虚影突然再度变得璀璨耀眼，旋即那虚影巨手之上。圣光凝聚，竟然是有着一柄约莫千丈庞大的圣光巨枪浮现出来。 “大圣光术，圣枪降临！” 姬玄手指凌空点出，只见得那圣光虚影手中圣枪顿时呼啸而下，一闪之下。便是出现在了黄金圣凰上空，那种可怕的波动，犹如是能够洞穿天地。 “血魔之印！” 在姬玄发动着攻势的同时，那站在血魔兽肩膀之上的血天河也是狰狞一笑，旋即他双手结印，而随着其印法变化，只见得那巨大的血魔兽竟然也是结出了相同的印法。
【前文回顾】: 血光冲天而起，一大一小两道犹如鲜血凝聚的光印暴掠而出，在半空迅速相融，而后直接膨胀成数百丈庞大，最后带起滔天血腥之气，狠狠的对着温清璇与黄金圣凰镇压而下。 两人的攻势，都是强悍得足以让任何渡过三重神魄难的高手心神颤抖，这种程度的攻击，都已经算是接近至尊强者了！ 巨大的压迫之力笼罩而来，温清璇玉手紧紧的握住长枪，不过即便是面对着这种险境，她那一对漂亮的凤目之中，依旧充斥着骄傲，并没有任何的畏惧。 一如那优雅高傲的黄金圣凰。
【当前段落】: 温清璇手中金色战枪重重一跺，只见得璀璨的金光，铺天盖地的从黄金圣凰体内涌出来，这些金光显得极为的粘稠，犹如的金色的液体，而且这些金色液体在以一种惊人速度凝固，短短不过瞬息的时间，所有人便是见到一道巨大黄金巨球，笼罩在了黄金圣凰之外。 那一道黄金巨球闪烁着耀眼的光泽，浑圆得没有丝毫的瑕疵，在那表面，还有着金凰腾飞的图纹，那坚固之感，仿佛是能够承受世间最可怕的冲击。 “黄金守护！” 当那黄金巨球在凝聚而成时，温清璇那冰冷的轻喝声，也是回荡了天际。",1
C00379,"[ROW] 
【前文回顾】: “林动，今日我便让你看看，当造化武学从造化强者手中施展出来时，是何等的威力！” 随着那一点璀璨光芒爆发而起，突然间，腾刹那冰冷的喝声，陡然自涛浪之中传出。 “大荒分海印！” 喝声传出，突然间，这片天地元力剧烈波动，那巨大的元力涛浪，竟是如同被一股无可抗拒的大力生生撕裂而开一般，而后，一道璀璨光柱暴冲天际，直接是凝聚成了一道百丈大小的神秘手印！ 在那巨大的光印之上，一种极端可怕的波动，疯狂的席卷开来，直接是在天空上引来狂风阵阵，隐约间，仿若有着大海涛浪，在光印之上凝聚。
【前文回顾】: “大荒分海印？”下方的林动，眼瞳微缩地望着那巨大的光印，从那上面，他感觉到了一点熟悉的波动，而且听这名字，看来这武学，应该也是腾刹从大荒古碑之中所获得，只不过，这造化武学的波动，可并没有林动想象中的那般强横。 “哼，你这充其量只能算所准造化武学，也敢妄言造化，当真是可笑！”林动目光一闪，倒也是立刻看出了端倪，腾刹这武学，的确比九品武学更强，但却还并算不上造化武学！ “收拾你，已经足够！” 被林动看出端倪，腾刹面色也是有些阴冷，森然一笑，旋即一掌拍出，那悬浮天际的巨大光印，便是以一种极端恐怖的声势，对着林动爆轰而去！
【当前段落】: 光印尚还未着地，那所形成的可怕波动，已是直接将广场上震得塌陷下去，整座玄阴山都是颤抖起来，巨石滚落，犹如末日来临。 林动抬头，望着那在眼瞳之中急速放大的强悍光印，嘴角不由得浮现一抹冷笑，手掌一翻，那从拍卖会上得来的“蕴神蒲团”便是闪现出来。 “蕴神蒲团”一出现，林动心神一动，一股股雄浑无比的精神力以及元力，便是飞快地涌入其中，而随着两股力量融合而进，只见得那“蕴神蒲团”之上，顿时涌现一道道近乎混沌颜色的能量，正是使用元力与精神力融合而成奇特能量，精元之力！",1
C00276,"[ROW] 
【前文回顾】: 牧曜伸出手掌，对着李洛所在狠狠一握。 顿时大地震动，竟是有数十根弥漫着玄妙光纹的尖锐土刺自大地中暴射而出，快若闪电般的对着李洛所在刺杀而去。 “休想动我三弟！” 不过还不待李洛出手，李鲸涛却是沉声暴喝，他一步踏出，双手结印，体内相力倾尽全力的爆发而出。 “八甲术，六甲玄皮！” 伴随着李鲸涛吼声落下，只见得他的身躯仿佛都是在此时膨胀起来，特别是其身体表面的皮肤开始迅速的变得斑驳，似乎是有着一层层神秘的甲皮覆盖在了身躯上，隐隐间散发出一种极为惊人的防御力。
【前文回顾】: 土刺暴射而来，尽数的落在了李鲸涛的身躯上，顿时那一层层斑驳甲皮不断的破碎，同时也将李鲸涛轰得连连后退，数息后，李鲸涛便是皮开肉绽，鲜血流淌下来。 不过，让得人震惊的是，那来自牧曜的攻击，竟然还真的被他给挡了下来。 牧曜眼中流露出一丝震惊，虽说先前的攻击并未全力，可他毕竟是小天相境的实力，而眼前的李鲸涛，不过才二星天珠境，两者间差距如此巨大，正常情况，不是应该直接将这李鲸涛给秒杀的吗？ 怎么眼下，还被其挡了下来？
【当前段落】: 这家伙的防御属实有些变态啊。 “倒是有些本事，不过你自身相力等级太低，如果你如今已至七星，八星天珠境，恐怕凭你这防御，还真能将我拖住。”牧曜双目微眯，淡声道。 李鲸涛紧咬着牙，硬抗了一名小天相境强者的一击也不是那么好受的，即便是以他的防御，此时身体上也是出现了狰狞的伤痕，鲜血流个不停。 李洛见状，取出“玄木羽扇”，挥出数道白光落在李鲸涛身上，顿时将其鲜血止住，同时那些伤痕也是在迅速的恢复。 李鲸涛惊奇的道：“三弟你这宝贝真好，有它的协助，我又能抗几次了。”",0
C00361,"[ROW] 
【前文回顾】: 伊秋水有些疑惑，但还是照他所说，先以玉牌吸入天地源气，只见得玉牌上有流光绽放，那些天地源气在进入玉牌后，其上铭刻的那些源纹，也是变得明亮起来。 特别是其内部存在的一缕青金色源气，更是发出了若有若无的蛟龙长吟。 伊秋水玉手握住玉牌，将那玉牌内的天地源气吸入体内。 片刻后，她那美目陡然瞪圆！ 因为她震惊的发现，那一道天地源气，竟是以极快的速度被她所炼化，然后汇入神府之内。 “怎么会这样？！”伊秋水难以置信的道。
【前文回顾】: 要知道，这陨落之渊内的天地源气，极为的狂暴，正是因为如此，想要炼化吸收才需要费极大的功夫，可先前她所吸收的那一道天地源气中，似乎并没有那种狂暴因子。 周元笑了笑，道：“看来有效果啊。” 伊秋水目光也是转向手中的玉牌，道：“是因为这个？” 周元点点头，道：“这是我创造的‘净化玉牌’，能够净化天地源气中的狂暴因子，有了此物，你们源气的回复速度，应该能够达到外界的八成。” 这“净化玉牌”其实并不算太复杂，只不过其核心之物极为的特殊，因为那是一缕周元的“镇世天蛟气”。
【当前段落】: 因为周元也是凭借着祖龙经，才能够炼化天地源气间的狂暴因子。 所以周元之前就有做过试验，而现在的“净化玉牌”就是最终的产物。 “周元，你太厉害了！”伊秋水俏脸上满是欢喜之色，此物对于他们而言，可是真正的宝贝，有了这净化玉牌，他们就能够肆无忌惮的使用源气，这在遇见其他队伍的时候，无疑是能够占据优势。 周元笑笑，道：“不过这‘净化玉牌’也有着缺陷，它无法长存，顶多只能使用三天，所以三天后它会自动失效，只有交给我重新炼制，才能够继续生效。”",0
