book,chapter,paragragh,tag
斗破,第8章 神秘的老者,"眉头一皱，萧炎心情也是逐渐的平复了下来，在暴怒完毕之后，欣喜随之而来，既然知道了斗之气的消失之谜，那么现在，他的天赋，定然也是已经归来！
　　只要一想起终于有机会脱去废物的头衔，萧炎的身体，此刻几乎犹如重生般的舒畅了起来，面前那可恶的老头，看起来，也并不太过讨厌了。
　　有些东西，只有当失去了，才知道它的珍贵！失而复得，会让人更加珍惜！",2
斗破,第15章 修炼,"自从上次将所有东西准备完全之后，萧炎已经缩在自己房间中足足半个多月，半个月中，除了吃喝拉撒等事之外，几乎是过上了深居简出的清修日子。
　　然而虽然修炼的日子有些枯燥，不过这对经历了三年白眼嘲讽打击的萧炎来说，却不过是件小事而已。
　　三年所受的嘲讽，让他清楚的知道，实力在这片大陆上，究竟有多重要……
　　不过日子虽清苦，可修炼所取得的成效，却是让人满心发喜。
　　药老所炼制而出的灵液，其药力之强，远超过了萧炎甚至药老本人的意料，本来以为即使借助灵液的药力，萧炎也至少需要一月时间才能达到四段斗之气，可没想到，他却硬生生的将时间缩短了一半……
　　对此，就连药老，也是有些忍不住的对萧炎所表现出来的修炼效率感到惊异，虽说这和萧炎曾经走过这条路有些关系，可这速度，也实在太快了吧？
　　要知道，斗气的修炼，基础尤为难修，初阶十段斗之气，花费十年，甚至二十年的人，并不乏少数……当然，一旦成为一名真正的斗者，那么其修炼速度，便将会大大加快，在未成为斗者之前，一年时间或许只能够使得斗之气增加一段，然而进入斗者之后，说不定能在一年之中，猛飙几星……
　　在这前后修炼极为不协调的比较之下，萧炎这半月的表现，也的确是有些骇人了。",2
斗破,第33章 证实,"“砰！”一声闷响，被萧炎击中的萧克红润的脸色顿时苍白。一声闷哼，脚步踉跄后退，最后终于是一个立脚不稳，软了下去，摔了个四脚朝天。
　　全场寂静，萧克的落败，很好的证实了某些事实。
　　一掌击败对手，萧炎有些无聊的摇了摇头，这种对手，实在很没挑战性，别说动用底牌，自己连本身真实实力，都未曾动用一半。
　　当然，与萧炎自己的无聊不同，此时的场外，所有人，都是缓缓的闭上了眼睛，既然萧炎能够如此轻易的打败一名六段斗之气的族人，那么他的实力，定然在七段之上。
　　如此说来，那么先前萧炎所表现出来的那恐怖成绩……是真的了！
　　一年提升四段斗之气，这种成绩，堪称奇迹中奇迹！
　　高台上，萧战重重的吐了一口气，心中，也终于放下了那块悬着的巨石。
　　“……真的，第七段了……”
　　望着那被击败的萧克，萧媚小手缓缓的掩着红唇，震撼的失声喃喃。",1
斗破,扮猪,"看来萧炎此次所造成的震撼给予了这位二长老颇大的打击，即使他心中明知道测验碑极难出错，可他依然有些顽固的不愿相信，所以，他此次自动请缨，亲自监控萧炎的测验！
　　没有在意他目光中的质疑，萧炎手掌缓缓摸上石碑……
　　望着高台上摸着石碑的萧炎，台下，萧玉柳眉忍不住的微微一皱，偏头对着萧宁低声问道：“那家伙真到第七段了？”
　　由于萧玉最近两天才从学院请假回到家族，所以，她并没有亲眼见到那日的预测。
　　被姐姐询问，萧宁有些苦涩的点了点，闷声道：“嗯，不晓得那家伙吃了什么东西，一年内，真的蹦了四段斗之气。”
　　被再一次证实这传言的真实性，萧玉红唇紧抿，有些恼怒的跺了跺性感的长腿，怒瞪着场中的黑衫青年，俏丽的脸颊扬起一抹倔强：“没有亲眼看见，我很难相信那废柴能翻身！”
　　深吐了一口气，萧玉冷笑着盯着场中：“上次一定是这家伙做了什么手脚，这次由二长老亲自监控，我看你如……”
　　冷笑的低语还未说话，萧玉俏丽的脸颊，便是骤然僵硬，剩下的话，也是被凝固在了喉咙之处。
　　高高的木台之上，巨大的黑石碑光芒乍放，金色的大字，龙飞凤舞的出现在石碑表面。
　　“斗之气：八段！”",1
斗破,第43章 强横的萧炎,"望着场中败得干脆利落的萧宁，台下在略微寂静之后，迅速骚乱了起来，先前还未完全消散的震撼，又是自心中缓缓的翻腾而起。
　　萧家的年轻一辈，都是目瞪口呆的望着那吐血软到在地的萧宁，作为同辈人，他们自然非常清楚萧宁的战力，在萧家年轻一辈中，除了薰儿能够压之一筹之外，可以说是难有对手，然而现在，却仅仅是在与萧炎的两个碰面之中，便被打得落花流水，这种突如其来的变故，简直让得所有人有些措手不及。",1
斗破,第43章 强横的萧炎,"面对着萧宁的强猛一击，萧炎出乎意料的没有退后，右拳紧握，身形略微弯曲，犹如一头蓄势待发的怒狮一般，沉寂瞬间，身体犹如离弦的箭，猛冲而出。
　　望着竟然选择和此时的萧宁硬碰硬的萧炎，二长老不由气得跺了跺脚：“笨蛋！”
　　“八极崩！”
　　心头响起一声沉闷的低喝，萧炎的拳头，在二长老那有些惊恐的目光中，狠狠的与萧宁对碰在了一起。
　　“砰！”两只拳头，在半空相遇，略微寂静，萧宁狰狞的脸色骤然惨白，血迹不断的从嘴角溢出。
　　脸色淡漠，手臂猛的一抖，袖袍似乎都在此刻发出了噼里啪啦的声响，拳头往前一送，萧宁的身形，犹如狂风中一片落叶一般，在无数道惊骇的目光中，直接砸落出了高台。
　　望着这一幕，台上的二长老，眼瞳骤缩，忍不住的长长吸了一口凉气，不远处那黑衫少年的背影，似乎也在此刻，变得神秘了起来。",1
斗破,扮猪,"在临至萧炎的时候，前面所有人当中，最出色的成绩，也不过是一名年龄十七的一星斗者，按照潜力值计算，应该只算是D级，然而即使是这样，也让得若琳略微有些喜悦，毕竟十七岁就成为一星斗者，这种潜力，已经算是不错了。
　　当站在萧炎面前的那位新生报完数据之后，帐篷内的目光，顿时汇聚在了那因为长久等待，而即将要昏昏入睡的少年身体上。
　　“萧炎哥哥，该你了。”望着身旁萧炎那朦胧的眼睛，一旁的薰儿，无奈的将他拉回过了神来。
　　“哦。”回过神的萧炎，连忙摸了一把嘴角本就不存在的口水，目光对着上面移了移，只见那位美丽的若琳导师，正笑吟吟的盯着自己，讪讪一笑，萧炎自己瓣了瓣手指，旋即露出洁白的牙齿：“我可比不上导师口中所说的那位小妖女，我满打满算，并且把自己反复掂量了一下……似乎也只能勉强算是，A级吧。”
　　“呃……”萧炎这有些惋惜的话刚刚脱口，窃窃私语的帐篷内，便是骤然寂静。
　　角落处，罗布脸庞急促抽动，他没想到，这看上去不过十六七岁的少年，竟然在等级上已经和自己持平了？
　　罗布的身旁，戈剌则是脸庞略微发白，旋即满脸苦涩，难怪自己败得那么凄惨，原来这家伙一直在扮猪吃老虎。",1
斗破,第101章 最恐怖的一个,"瞧得萧炎点头，薰儿这才甜甜一笑，微蹙着眉头整理了一下记忆，方才缓缓笑道：“萧炎哥哥四岁炼气。”
　　听着这第一句话，若琳导师微微点头，初阶斗之气是最难以修炼的，四岁修炼，并不算太早，也并不算太晚。
　　“十岁第九段斗之气。”
　　薰儿接下来的轻声，却是让得帐篷内的人身体一震，初阶斗之气的修炼之艰难，是斗气大陆公认的事，一般来说，四岁修炼斗之气，天赋好的，应该十五岁左右，方才能够达到九段斗之气，再优秀一点，或许十三十四，这十岁便到达九段斗之气，速度，却是有些骇人了。
　　“十一岁，晋级成为斗者。”
　　听到此处，众人望向萧炎的目光，略微有些诡异了起来，十一岁的斗者……这即使是在迦南学院，也无人可比。
　　首位之上，随着薰儿的话语，若琳导师的眸子，越来越亮，美眸中，异彩掠过。
　　“嗯……接下来……”说到此处，薰儿抿了抿小嘴，轻声道：“十二岁到十五岁，萧炎哥哥从斗者……降到了三段斗之气。”
　　“呃……”闻言，满帐篷的窃窃私语，噶然而止，大多数人脸庞的表情，都突兀的凝固了起来。
　　“降回了三段斗之气？”
　　这几乎是绝地大转折的话语，让得若琳导师美丽脸颊上的表情有些错愕，这峰回路转的情况，让得她几乎有种是在听故事的感觉。
　　玉手掩着红唇，好片刻时间，若琳导师方才从这诡异的情况中回过神来，紧接着问道：“后来呢？”
　　“后来，度过了三年修炼空洞期的萧炎哥哥，再次回复了那惊才绝艳的天赋，在其十五岁之后，短短一年半时间，从三段斗之气，提升到了现在的四星斗者。”小嘴微翘，薰儿笑吟吟的道：“所以，现在萧炎哥哥的实力，其实只是他这一年半的修炼成果而已，而薰儿，却是足足修炼了十六年，孰强孰弱，一见可知。",1
斗破,第104章 离去之前,"望着那站在水幕下，然而衣衫却毫无一点水渍的萧炎，若琳导师脸颊上的震惊缓缓收敛，再次深深的看了一眼那笑吟吟的少年，柔声道：“小家伙果然有些本事，我倒是有些走眼了。”
　　“嘿嘿，侥幸而已，若是导师肯使用全力，我肯定走不出三回合。”捎了捎头，萧炎笑道。",1
斗破,第104章 离去之前,"清晨的阳光从窗户中洒进，将房间照得颇为明亮，床榻上，少年睡眼朦胧的坐起身子，愣了片刻之后，方才连连打着哈欠爬下床，简简单单的洗漱了一番。
　　“药老，我们什么时候动身啊？”将脸上的水迹搽净，萧炎随口询问道。
　　“待会出去准备一些东西吧，淡水，干粮，帐篷，驱虫散，低级药材以及一些疗伤，回气的丹药，都是修行中必不可少的东西，你得准备完全，毕竟，我们或许会度过一段时间不短的深山生活。”虚幻的药老突兀的出现在桌旁的椅上，淡淡说道。
　　“嘿嘿，我很期待。”将衣衫飞快的套在身上，萧炎笑道。
　　望着萧炎那副跃跃欲试的模样，药老挑了挑眉，轻声道：“从出生到现在，你从没经历过生死战斗，人的潜力，只有在生命受到威胁之时，才会犹如火山一般爆发，象你以前那般不温不火的修炼，恐怕永远难以成为真正的强者！”
　　“修炼天赋，你并不欠缺，你所欠缺的，是铁与血的历练！”随意的把玩着手中的茶杯，药老瞥了一眼穿衣速度缓缓变慢的萧炎，淡淡的道：“只有成功经过血的磨练，你才会真正的进行脱变。”
　　萧炎拳头缓缓紧握，对着药老笑着扬起脸庞：“我相信自己能通过。”
　　“有信心就好。”药老轻笑着点了点头，他也很满意萧炎的自信。
　　“嘿嘿，不过，老师……你上次说的地阶斗技……什么时候教给我啊？”萧炎嘿嘿一笑，凑上前来，满脸垂涎的笑问道，他对那地阶斗技，可算是向往很久了。
　　斜瞥了一眼笑眯眯的萧炎，药老苍老的脸庞上扬起一抹戏谑：“放心吧，既然说了会教给你，那我就不会食言，等离开了乌坦城，嘿嘿……你就等着给我慢慢学吧！”
　　瞧着药老这幅模样，萧炎心头顿时闪过一抹不妙的感觉，干笑了两声，不再废话，将所有东西揣进怀中，然后拉开房门，走了出去",2
