book,chapter,paragragh,tag
武动,第四章 石池之秘,"林动喉咙滚动了一下，手掌颤抖着伸入池水中，顿时那些水泡爆裂而开，一丝丝淡红色的液体粘附在手掌上，然后顺着毛孔悄悄地渗入。
随着这些淡红色液体的渗入，林动手掌突然传出一种火热的感觉，那种感觉，就与刚才他刚刚苏醒时所感觉的一般，而且，这一次，他仿佛能够清晰地感觉到，那种淡红色的液体，在一丝丝的沁入他手掌的肌肉皮膜之中，让得手掌上的皮肤，越来越坚硬。
“果然是这样！”
察觉到手掌的变化，林动小脸上满是狂喜之色，他猜测得没有错，这石池的水，需要血液的浸染，才能变得特殊起来！
林动手掌握了握，这只手掌上的皮层比起其他部位显然是要坚硬许多，而这，便是刚才那短暂的沁泡所得到的效果，这种效果，堪称神效，按照林动的估摸，这种神效，就算是那些在青阳镇之中卖得极为昂贵的三品灵药，恐怕都无法达到！",2
武动,第五章 神秘石符,"拳掌舒展，手臂宛如猿猴般，灵活翻腾，四道脆响接连响起，而林动的拳风，也是在此刻带起了风声！
四响！
林动的双眼，在此刻变得异常地亮堂起来，他没想到，仅仅只是一些细微上的改变，这通背拳修炼起来，居然便会是如此的得心应手！
那种感觉，就如同获得了一个无与伦比的良师在手把手地教导一般，而且这个老师的水平，简直达到了一种恐怖的地步。
这般收获，简直就是让得林动心中狂喜，若是林啸知道他仅仅在一天之内，便是能够将通背拳修炼出四响，恐怕下巴都是会被震惊得掉下来，他当初可是修行了将近一月，才勉强达到这种速度，而林动，却是超越了他数十倍！",2
武动,第八章 冲突,"林动目光直直地望着那扑面而来的数道拳影，虽说林山这一套落石拳声势不弱，但不知为何，落在他眼中，却是显得破绽百出，当下他也不迟疑，通背拳架势直接施展而开。
“啪！啪！啪！”
衣袖拍打在手臂上，清脆而响亮的声音，迅速传开，而与此同时，林动的拳头，也是与林山拳影碰撞在一起。
“砰！”
拳头刚刚接触，那林山身体便是一抖，一股大力迅速自拳头处涌来，然后他便是骇然地感觉到，如木石般坚硬的双拳上，居然是传来了一阵阵的痛感。
“通背拳，三响？怎么可能？！”
此时此刻，林山眼中的惊骇越发浓郁，通背拳他自然也是听说过，这在一品武学中，已算得上是佼佼者，他原本也是想要修炼此拳法，但在修炼了十日时间依旧未能发出响声后，便是不得不将其抛弃，谁能想到，这以前一直不是他对手的林动，居然能够将其修炼成功？！
“不是三响，是四响！”
林动一笑，旋即眼神微冷，手臂一抖，又是一道清脆响声响起，旋即，越发沉重的一拳，直接轰在了林山双臂之上。
“嘭！”
面对着四响的通背拳，那林山的落石拳架势直接崩溃，脚步蹬蹬地急退，最后脚腕终于是一个踉跄，在周围那一道道目瞪口呆的目光下，就欲摔翻在地。",1
武动,第十三章 疗伤,"林啸的声音因为激动都是有些不连贯起来，最终，他终于是忍不住地一把将柳研抱在怀中，仰天大笑，笑声中，有着解脱也有着数不清的辛酸，这些年，因为体内的伤势，他的实力寸步未进，虽然表面上强行装出不在乎，但任谁都是能够感觉到，当年那林家中最意气风华的人，正逐渐被颓废所取代着。
不过，天不绝人之路，没想到，那数年来都是没有任何复原动静的伤势，在今天，居然会出现这般变化！
望着拥在一起喜极而泣的爹娘，林动也是抹了一把眼睛，然后咧嘴一笑，石符灵药的效果，远远超出了他的预料，日后只要再来几次，想必要彻底治疗林啸的伤势并不是什么困难的事。
而到时候伤势一旦痊愈，林啸止步不前的实力，也定然会再度涨动！
林动心中轻吐了一口气，然后拉着一旁小脸上满是欣喜的青檀，缓缓地退出房间。
“嘎。”
轻轻地关上房门，林动脸庞上也是浮现一抹微笑，用仅有自己听见的声音喃喃道：“爹，放心吧，您一定会再度成为林家的顶梁柱！”",2
武动,第十八章 元力种子,"林动两个跨步，便是出现在了那水晶朱果所在的地方，望着后者那晶莹剔透的果实，他着实有点眼热，三品灵药，价格可是相当的不菲，一般说来，只有在深山老林中才能遇见，今日他能够在这里发现一株，不得不说运气好到了极点。
林动好好地打量了一下这枚水晶朱果，然后也不多迟疑，弯身便是一把对着朱果抓了过去，不过，就在其手掌刚刚抓到水晶朱果时，他胸膛处所悬挂的神秘石符，却是突然间发出了淡淡的温热。
对于神秘石符突然间的变化，林动也是愣了愣，取出石符，放于掌心上，在晋入淬体第六重后，他的感知似乎也是敏锐了许多，因此，他竟然是能够隐隐间感觉到，石符正在释放着一种细微的吸力，而在这种吸力下，周围天地间，有着一种淡淡的能量，灌注进入石符之内。
“石符灵液，或许便是石符从天地间吸收的能量所凝！”",2
武动,第二十二章 艺惊全场,"不少人的目光，都是在此时涌上惊色，显然是未曾料到，林动这般年龄，居然便是能够将通背拳修炼到这种境界。
“这个小子，居然又有所进展……”林啸也是被林动突如其来的表现惊了一下，旋即面露喜色地道。
“恩，不错……”
贵宾席上，林震天也是抚着胡须，缓缓地点了点头，这个年龄便是能够将通背拳修炼到八响的地步，已是相当不错了。
“不过林陨的落石拳，火候也是极为不浅，而且还有着元力相助，八响通背拳虽威力不小，但想要获胜，恐怕还是有些困难……”
惊讶归惊讶，但林震天依然是眼光毒辣地看清了形势，当下喃喃道。
“啪！”
然而，就在林震天此话刚刚落下时，场中，居然又是传出了一道清脆声响，当下，整个试炼馆，都是为之寂静了一瞬。
九响！
通背拳的极致！
唰！
所有的目光，都是在瞬息间凝聚在了林动的身体上，而且，这一次，他们还在后者的拳头上，看见了淡淡的光泽闪动。
元力！淬体第六重！
“咔嚓！”
林啸手中的茶杯，直接是崩裂开几道裂缝，他双眼愣愣地望着石台上的少年，通背拳第九响？淬体第六重？
林动……什么时候变得这么强了？
“好！”
首席上的林震天，也是在沉默了一会后，缓缓地吐出了一个字来，清楚他性子的人都明白，林动展现出来的实力，让得他极度的满意。",1
武动,第二十四章 完胜,"“不是只有你，才是淬体第七重！”
林动盯着面前面色有些变化的林宏，一字一顿地道，而伴随着他声音的吐出，在其身体上，居然也是开始涌现淡淡的光泽，那是元力的波动，而且，这种波动，比起林宏，居然是只强不弱！
淬体第七重！
“嘶……”
望着林动身体之上闪动的元力光泽，试炼馆之中，突然响起了一片抽冷气的声音，原来，林动的真实实力，并不是第六重，而是，第七重！
难怪，他敢挑战林宏，原来，是有着这等本钱！
“这个臭小子……”
林啸呆呆地望着石台上的那道身影，脸上的神情，变得极为的精彩，先前林动给予他的惊讶还没有彻底的消化完毕，现在居然又是给他来了重重地一击……
石台下的林霞，玉手也是在此刻不自觉的掩上了小嘴，眸子中，布满着震惊之色。
“第七重，又能如何？！”
林宏面色变幻，最终也是一声冷笑，手臂一抖，双掌陡然挥出，刚猛的劲风，宛如刀子一般，割得人生疼。
“八荒掌么。”
望着林宏那扑面而来的掌风，林动却是一笑，双掌挥动，直接是以一种刁钻的弧度，穿过林宏的掌影，拍在了其双臂之上，而在他这等看似随意的轻拍下，林宏那刚猛的八荒掌，力道却是宛如被分散了一般，立刻减弱。
“八荒掌，可不是你这么用的！”
震散林宏的掌风，林动微微一笑，只见得其双掌如刀锋般的暴探而出，顿时破风声响起，那等刚猛之力，比起林宏所施展的八荒掌，不知道是强悍了多少。",1
武动,第二十九章 石符变故,"见到光影成形，林动心中也是忍不住地松了一口气。
光影一成形，双手便是合拢在了一起，结出了一个复杂的手印。
“的确是奇门印的开篇印法。”
林动的眼睛，在此刻变得火热起来，目不转睛地盯着光影。
在光影施展出第一个手印后，又是接连不断地变幻了五次，每一次的印决变幻都是相当的复杂，不过有了下午的预习，林动倒还是能够勉强的跟上这个节奏。
而当光影的手印，变幻到第七次时，林动的心陡然提了起来，因为残篇上的印法，正是到了这里时，就完全的没有了，所以说，后面的印法，就算是残篇上，也是没有记载……
在林动那灼热而紧张的目光注视下，光影原本行云流水般的印法变化，居然也是出现了略微的停滞，不过所幸，这种停滞，仅仅持续了数息时间，光影手中的印法，便是继续变幻！
“成功了！”
望着光影手中那明明很是陌生，但却显得极为契合的一道印法，林动几乎是要忍不住地蹦起来，脸庞上，充斥着激动与兴奋之色。
原本残缺的武学，真的在石符光影那奇异的能力下，被修复完善了下来！
“竟然真的可以……”",2
武动,第一百五十七章 林尘,"“好强的精神力！”
林枫的面色，布满着惊骇欲绝之色，他体内的元力已是尽数催动起来，但那压迫在身体之上的精神威压，却依然是宛如山岳一般，纹丝不动，甚至，连他喘一口气，都是感到极为的困难。
“怎么可能！一个分家的小子，怎么可能强到这种地步？！”
面色惊骇，林枫的心中也满是不可置信，虽说在林氏宗族年轻一辈中，他算不得什么顶尖之人，但也绝对不是庸人之辈，可眼前的事实却是告诉他，面前这位看上去比他还要年轻的少年，实力却是超过了他数筹！
一旁的那林强二人，望着那几乎是跪在林动面前的林枫，心中无疑也是泛起了惊涛骇浪，不过悬在脖子上面的锋利长剑，却是让得他们不敢有丝毫的动弹。
林动面色漠然地望着那死死抵抗着精神威压，想要站起身来的林枫，突然脚步轻轻跨出。
“嘭！”
随着林动一步跨出，那股压在林枫身体之上的精神威压再度变强，后者当下面色便是涌上惨白之色，整个身体，都是直接被生生的压趴在了地面上，那般模样，极端的狼狈。",1
武动,第一百五十八章 完美的操控,"听到林动的笑声，林尘先是一怔，然后瞳孔陡然紧缩，只见得那被他强行撕裂而开的光印，突然爆炸而开，一道约摸巴掌大小，犹如实体般的精神螺旋锥体在那爆炸中诡异的浮现，然后以一种惊人的速度暴射而出。
突如其来的一幕，终于是让得林尘眼中涌上一抹骇然之色，双爪舞动，急忙对着那道暴射而来的精神螺旋锥体抓去。
“砰砰！”
精神螺旋锥体，重重地轰在林尘双爪之上，其手掌上宛如玉质般光层，顷刻间寸寸爆裂而开，可怕的巨力，直接是将林尘震得狼狈急退。
“咻！”
精神螺旋锥体，化为一道光影，直接对着林尘额头暴射而去，而后者也是疯狂的暴退，然而不管他如何施展元力阻拦，那所形成的阻碍，都是被那精神螺旋锥体，以一种摧枯拉朽般的速度，尽数摧毁！
到得现在，林尘方才明白，原来林动真正的杀招，并非是那光印，而是隐藏在光印之内的精神锥体！
“好可怕的操控力！”
心中闪过这道念头，林尘很明白，想要将精神力攻击隐藏在元力之中，那需要对精神力有着何种苛刻的要求。
“嘭！”
暴退的身形，突然顿住，林尘的后背重重地撞在石柱上，而其眼瞳中，那精神螺旋锥体，却是在急速放大。
“认输！”
深吸了一口气，林尘连忙喝道。",1
