book,chapter,paragragh,tag
元尊,第二十六章 崛起之势,"“他的力量，怎么会如此可怕？！”林枫心头一震，眼中有着骇然之色浮现。
“给我破！”
周元的冷厉喝声，也是在此时，猛的响起。
嘭！
就在他声落下的那一瞬间，所有人都是骇然的见到，林枫身体表面那层黑色光膜，竟是应声而碎。
“我认……”林枫脸庞上更是惊骇欲绝，急忙出声。
不过，周元还不待他的声落，那蕴含着所有力量的一拳，便是重重的落在了林枫胸膛之上。
噗嗤！
一口鲜血喷出，林枫的身体直接是在那一道道震惊的目光中倒飞了出去，在那半空中越过数座演武台，最后方才重重的落地，在那地面上搽出长长的痕迹，当场昏死过去。
随着林枫落地，整个演武场都是一片的寂静，所有人都是目瞪口呆的望着这一幕，甚至连苏幼微都是玉手捂着红唇小嘴，美目瞪圆。
“怎么会这样……”
所有人都是喃喃自语，满脸的难以置信，他们先前还在惊叹于林枫那强悍的防御，然而下一刻，那无可摧毁的铁魔壁，就这样被周元一拳轰稀烂……
这得多强的力量？
这是开两脉的人能够做到的？",1
元尊,第六十三章 一招立威,"周元忽的深吸了一口气，源气滚滚涌入其体内，天元笔猛的一震，然后一缕缕青芒便是自天元笔笔尖冒了出来。
“玄芒术！”
不过这一次周元施展的玄芒术，那青芒，已达数寸，再加上天元笔的增幅，那威力，远非府试之时可比。
唰！
他身影射出，手中天元笔犹如长枪一般刺出，空气被撕裂，发出尖锐的声音，然后在那众多的目光注视下，直接与那精瘦男子斩下的火刀，重重的碰撞在了一起。
铛！
金铁之声响彻而起，火花溅射。
不过在声音响起的同一时间，所有人都见到，一道身影直接是狼狈的倒射而出，脚掌蹬蹬的连踩着地面，数十步后，方才狼狈的稳住。
哗！
而当他步伐稳住时，众人看去，顿时爆发出哗然之声，因为那人，赫然是那位开八脉的精瘦男子。
谁都没想到，实力达到开八脉的精瘦男子，竟然在周元的手中，连一招都走不过！
此时的后者，也是面露震惊，他缓缓的抬起手中的火红长刀，只见得长刀上，有着裂纹浮现出来，最后咔嚓咔嚓，直接是破碎开来……
周围那无数视线，都是涌上一抹震惊，这周元殿下，竟然直接将这柄中品源兵都给毁了？这得多强的力量？
篝火旁，卫青青也是美目微睁的望着这一幕，她能够清晰的感觉到，先前周元那一击，究竟是何等的凶悍。
那一击，恐怕就算是养气境初期的高手，都将会感到威胁。
“原来，传闻竟然是真的。”卫青青喃喃道，美目带着一丝惊奇的盯着周元的身影。
台上，周元手中天元笔斜指地面，淡笑道：“承让了。”",1
元尊,第七十章 到手,"卫沧澜挥了挥手，有着侍女端着一个玉盒而来，然后他接过，亲自递给周元，道：“这里面就是那‘吞源石’。”
周元闻言，心中也是掠过一抹激动，小心翼翼的接过玉盒，将其打开，只见得其中躺着一颗约莫巴掌大小的灰黄色石头，石头上下有两孔，一大一小，小孔散发着吸力，将天地间的源气吸取而进，然后那大孔处，则是有着源气喷薄而出，可以感觉得出来，大孔喷出的源气，无疑是要更为的精纯。
果然是吞源石！
周元眼中浮现出喜色，将玉盒收入了乾坤囊，这吞源石，总算是到手了，接下来只要再搞到那四品蟒属源兽魂，他修炼祖龙经第一重的材料就准备齐全了。
这番忙活，不亏。",1
元尊,第八十七章 斩杀,"山谷外，那些看向深谷的目光，都是在这一刻沉默了下来，半晌后，便是有着滔天般的哗然声爆发起来。
“齐昊死了？！”
“怎么可能？！先前他还稳稳的占据上风，怎么突然间就落败了？！”
“发生了什么？”
“……”
所有人都是目瞪口呆，一副见鬼的模样，一分钟前他们还在怜悯周元，觉得他定会死在齐昊的手中，但一分钟后，结果就逆转了。
“先前好像隐约看见什么从齐昊体内钻了出来。”不过还是有着眼力毒辣的人，隐约的发现了点什么。
“应该是周元的手段，那齐昊不知不觉就中招了。”
这些人面面相觑，最终惊叹出声，不管周元使用的是什么手段，但最终获胜的是他。
“真是难以置信，他竟然以养气境初期的实力，斩杀了养气境后期的齐昊！”
“而且最关键的是，他还未曾修炼功法源气！”
“真是个……怪物啊！”
“大周王朝，竟然会有一个如此变态的殿下……看来日后，要多多小心一些才是。”",1
元尊,第一百零六章 力斩太初,"而在那下方，一道道城墙上，无数道目光都是目瞪口呆的望着这一幕，谁都没想到，先前还在施展杀招的王朝天，在顷刻间后，便是这般凄惨的死在了周元的手中。
“殿下！殿下！”
在经过短暂的寂静后，城墙上，忽的爆发出惊天动地般的欢呼声，大周那些将士，士气也是在此时暴涨到了顶点。
而反观那大齐方向的军队，则是开始有些混乱起来。
那双方正在交战的太初境强者更是震撼，眼中满是骇然之意，他们怎么都没想到，最先结束战斗的，竟然是他们刚开始最觉得不可能的两座城门……
至此，大齐一方，两名太初境强者，陨落。",1
元尊,第九十三章 银影,"于是，周元的身体之外，很快就被先前的银色战甲所笼罩。
银色战甲紧闭的双瞳忽然睁开，眼中银光流转，不过却是有着惊呼声，从其嘴中传出：“好神奇的战傀！”
那声音，虽然有点变化，但显然是来自周元。
“我感觉此时的力量非常的恐怖。”周元惊喜万分，银色战甲紧紧的包裹着他的身躯，而他则是能够如同指挥自己的身体一样操控着战傀。
两者宛如是真正的融合在了一起，完美契合。
而且，最令得周元震惊的是，他感觉此时的他，似乎非常的强悍。
这座银色战甲，赋予了他极为惊人的力量。
感受着那种汹涌的力量，周元忍不住的想要尝试一下，于是，他忽的紧握手掌，银色战甲那锋利的手掌也是立即握拢。
周元单膝跪地，猛的一拳对着地面轰下。
轰！
这一拳下来，整个地宫都是在疯狂的颤抖，再然后，周元便是震撼的见到，眼前大地直接被他一拳轰出了一道裂纹，甚至地面，都是出现了龟裂。
“好强，这一拳的力量，甚至媲美太初境！”周元狂喜的惊呼道。",1
元尊,第一百二十五章 水晶球,"不过，虽说遭受重创，但古翎却是森然一笑，看向周元所在的方向，道：“小子你还是太嫩了，中了我这破神针，你必死无疑！”
周元身外的尘烟，渐渐的散去，而当其现出身时，古翎脸庞上的笑容，则是一点点的凝固了下来。
只见得此时，在周元的眉心处，有着青色的鳞片浮现出来，而那枚细微的黑色长针，则是插在鳞片上，无法深入。
周元伸出手掌，将眉心间黑针取了下来，眼神淡漠的望着古翎。
“怎么可能？！”古翎惊恐失声，先前他的出手，迅如奔雷，时机也是掌握得完美，但怎么依旧还是被周元给挡了下来。
“你还真是一个骨子里面散发着阴毒的家伙。”周元淡淡的道。
古翎面色惨白，他望着携带着杀意一步步对着他走来的周元，急忙狼狈后退，道：“你敢杀我，我们古家定然不会放过你！”
周元嘴角的笑容有些讥讽，都到这个时候了，他们和古家可没半点余地可走了。
那古翎似也是明白，猛的爬起，手掌一拍地面，身形便是暴射而退，想要借机逃离。
然而周元怎么会让他有这种机会，指尖那枚黑针猛的一弹，便是化为一抹毫光，闪电般的追上了古翎，最后自他后脑勺，洞穿而过。
古翎脸庞上的神情凝固下来，身躯重重摔落在地上，眼中生机消散，直到此刻，他方才有些后悔，为何要在那珍宝阁中招惹这对男女……
而且，他眼中这个养气境的杂鱼，似乎比他想的，强太多了。",1
元尊,第一百五十章 大风雷,"风雷兽庞大的身躯无力的坠落下来，震得地面都在抖动，湖面上泛起涟漪。
周元收起天元笔，眼神炽热起来。
因为伴随着风雷兽生机的散去，只见得其身体上开始有着一缕缕白雾升起来。
那每一缕白雾，都是蕴含着极为精纯的源气。
“不愧是四品源兽，远比之前遇见的那些雄浑。”周元赞叹道，之前猎杀的源兽，都只有一缕，然而这风雷兽，却是数十倍之多。
白雾不断的升腾，最后开始凝聚，滴溜溜间，竟是形成了一道约莫人头大小的白色气团，气团渐渐的缩小，最后竟是化为了一枚拇指大小的白色珠子。
珠子宛如盛装着云海，漂亮至极，然而那自其中散发出来的雄浑源气，却是让得周元垂涎三尺。
周元抹了抹嘴，他能够感觉到，如果他吸收了这枚白色源珠，很有可能就会彻底的填满自身气府。
到时候，他就能够跨出那一步，真正的踏入天关境！",1
元尊,第一百五十章 大风雷,"而在周元收走白色源珠后，他再度眼热的见到，一缕白雾再度从风雷兽的身上袅袅升起，最后化为了一道青黑色的玉简。
周元闪电般的伸出手，一把就将其抓在了手中，眼神滚烫。
玉简一入手，便是有着信息涌入周元脑海。
周元闭目感应，片刻后睁开双目，眼中有着狂喜的光芒涌现，正如他所料，这道玉简之中，记载着一道小小天源术。
这道小天源术，名为大风雷。
修炼之法尚未读取，因为这些玉简都是一次性的，一旦接受，玉简也会碎裂，无法再给第二人修炼。
“总算是得到了。”
周元心满意足的收起玉简，事到如今，他也算是得到了一卷小天源术，若是修炼成功的话，对于他自身的实力提升，无疑是极为的巨大。
“这一次收获倒是不小。”
周元忍不住的一笑，不仅得到了一枚白色源珠，能够助自身突破到天关境，更是得到了一卷小天源术。",1
元尊,第一百五十六章 蟒吞魔轮,"“怎么可能？！”
无数道惊骇的声音几乎是同时间的响了起来，那一双双眼珠子，更是凸了出来。
他们怎么都没想到，竟然会是这种结果……
萧天玄那道威力恐怖的小天源术，竟然连个水泡都没冒出来，就没了声息。
这个周元，竟然是怎么办到的？！
萧天玄脸庞上的神情，也是在此时一点点的凝固。后方那古灵，更是一副见鬼般的模样，嘴中都能塞进一个鸭蛋。
“你这小天源术，似乎还没真正修成吧……威力弱了点。”周元望着萧天玄那凝固的表情，淡笑一声。",1
