book,chapter,paragragh,tag
大主宰,第一百零七章 斩杀,"整个城市，都是在此时彻底的寂静下来。

 因为他们看见，当那黑色光束掠过时，那柳惊山所化的双头魔犬，竟是消失得干干净净，甚至连丝毫骨骸都未曾遗留下来。

 那一幕，就犹如他是被生生从这天地间蒸发了一般。

 天空上狂暴的灵力波动，也是在此时迅速的消退，先前的那种惊天之战，仿佛彻彻底底的消失而去。

 城市中无数人面面相觑，他们望着那空荡荡的天空，柳惊山，就这样被抹杀了？

 一名融天境的强者，就这样陨落了？

 柳擎天，柳慕白等人呆呆的望着柳惊山消失去的地方，脑子之中猛的传出阵阵眩晕的感觉，竟是忍不住的一屁股坐在了地上。

 原本他们的大好局面，原本他们称霸北灵境的野心就这样，被彻彻底底的抹杀了？！

 而这一切，都是那个曾经根本不被他们重视的牧尘做出来的？",1
大主宰,第四十一章 作弊,"这也太变态了，这火灵猿王精魄一拿出来，还有谁能比啊？”墨岭他们嘀咕道，那可是灵轮境后期的中级灵兽啊，他们这些学员，怎么可能有能力猎杀？

 莫师与席师也是望着那火灵猿王的精魄，后者眼中也是布满着惊异，前者倒是还好，毕竟当曰他也是亲眼见到过牧尘是如何驱虎吞狼将那倒霉的火灵猿王解决掉的。

 那记录人员则是愣了好半晌，显然没想到这种等级的灵兽精魄，会被一个学员拿出来。

 “中级后期灵兽精魄...一道...”

 片刻后，记录人员那压抑着惊讶的声音，方才响起来，无疑又是引来一阵轰鸣之声。",1
大主宰,第七百一十二章,"这场九幽卫与血鹰卫的拼斗，原本占据绝对优势的血鹰卫，竟然输得一败涂地！

 哗！

 当这一幕出现的时候，战场之外的天空上。顿时响起了铺天盖地的哗然声，无数强者面色凝重。虽然不言不语，可心中却着实受到了一些震动。

 因为这个结果，实在是让人有些难以平静，血鹰卫不仅在数量上拥有着优势，而且其统领吴天更是实力达到二品至尊顶峰的层次，所以这双方从表面上来看，似乎不管哪一点，都是九幽卫堪忧。可如今的结果…

 却是让人跌破了眼镜。

 那漫天的视线，都是忍不住的汇聚向了牧尘，因为谁都看得出来，这场战斗，正是因为他的存在，九幽卫才能够获胜。",1
大主宰,第九百章,"战意光圈动荡，然后突然间天空震动，在九幽他们的震撼注视下，只见得那光圈之内，一只约莫千丈庞大的巨手竟是缓缓的成形，那道巨手之上，布满着密密麻麻的战纹，一股恐怖的波动散发出来，那等战意波动，就算是以裂山王的实力，都是面色为之剧变。

 呼。

 牧尘仰望着那光圈之内的战意巨手，却是轻轻的吐了一口气，将心中陡然间涌起来的激动缓缓的压制了下来。

 因为，在那战意巨手之上，夺目的战纹，那般数量，已是超过一万！

 那也就是说，此时的牧尘，终于是突破了万纹，正式的踏入了战阵师的门槛，成为了一名货真价实的万纹战阵师！",2
大主宰,第六百八十四章,"在那金池峰山下，无数人望着那灵力光镜中远去的身影，原本喧嚣的天地间，却是在此时变得安静下来，所有人的面庞，都是有着震动之色浮现出来，他们此时方才明白过来，这个九幽宫的新统领，究竟隐藏了多少可怕的底牌..

 以一敌四，斩杀其三，这般战绩，委实可怖。

 天空上，三皇静静的望着灵力光幕，他们盯着那道少年身影，眼中都是掠过了一抹惊异之色，即便是那位深不可测的睡皇，都是睁开了眼睛。

 这个少年...果然不简单。",1
大主宰,第一百零七章 斩杀,"远处，牧尘眼神平静的望着天空上的对恃，旋即手指轻轻一动，只见得半空上的黑莲，竟是在此时蹦碎开来，然后化为一股黑色的液体，融入了那道黑色光束之中。

 咻！

 随着黑莲的散去，那道黑色光束的表面，仿佛是有着巨大的黑莲光纹浮现出来，旋即那一直隐藏的峥嵘，终于是在此时暴露出来。

 深邃的幽黑光芒自光束中爆发出来，那风火双龙，也是在此时发出了一道凄厉的哀鸣之声，然后无数人便是有些骇然的见到，风火双龙身躯之上，竟是有着裂纹浮现出来。

 柳惊山的瞳孔，在此时陡然紧缩。

 轰！

 惊天般的声音响彻而起，黑色光束贯穿而过，竟是生生的将那风火双龙洞穿而去。

 就在风火双龙被洞穿的霎那，那柳惊山的眼中终于是有着惊骇涌出来，浓浓的死亡之感，涌上了心头。",1
大主宰,第两百一十九章 换我来进攻,"又接下来了啊...”

 当然，不仅是他，战台周围，那无数人也是在心中不约而同的喃喃了一声，旋即忍不住的将视线投向场中那面色苍白，但修长身躯依旧笔直的少年，眼中掠过一些佩服之色。

 “好厉害的学弟呢。”

 一些俏美的女孩子也是由衷的轻叹出声，能够将排名天榜第二的李玄通逼得动用天玄神诀，但依旧还能屹立在场中，虽说受伤，却依旧没有丝毫的惊惧，这份气度，让人忍不住的心动神摇。",1
大主宰,第四百零四章,"下方顿时有着一些幸灾乐祸的冷笑响起，这小子，接下来就该千疮百孔了吧……
呃……
冷笑声噶然而止，一些人的眼睛都是猛的瞪大了一些，只见得在那天空上，呈现了那众多空间风刃袭击的牧尘，竟然只是被震飞了十数米，然后便是再度稳住，身体之上，没有丝毫鲜血滴落，更何况那种被撕裂了。",1
大主宰,第九百章,"五道战意之灵踏足虚空，咆哮震天，夺目的战纹弥漫在它们的身躯上，那等战意波动，比起以往，竟是强悍了不知道多少！

 九幽，裂山王等人都是略有些震撼的望着这一幕，以往的牧尘，想要凝炼出五道战意之灵虽然也是可以办到，但绝对做不到如今这样的行云流水。

 先前他凝炼战意之灵，仿佛都只是随手而为一般，而且，即便是身为外行，可九幽他们都是能够看得出来，如今这五道战意之灵，比起以前，显然强悍了不止一个档次。",1
大主宰,第两百零七章 九级浮屠塔,呜。那银色长剑犹如是爆发出哀鸣，灵力黯淡的倒射而回，落在了徐青青手中，剑身之上，一道道细微的裂纹蔓延开来，一柄中品灵器，竟然是直接被那九级浮屠塔镇成了废品。漫天寂静无声，那一道道望向此处的目光中，充斥着震动，特别是那之前与牧尘交过手的霍风，更是面色凝重无比，他显然没想到牧尘竟然还留着这等惊人的手段，先前那黑塔的镇压，就算是换作他的话，怕也是会相当的狼狈。,1
