feature_i,feature_j,corr_ij
word_tfidf_4,word_tfidf_13,0.9999999999999999
word_tfidf_1,word_tfidf_2,0.9999999999999998
char_len,word_count,0.9975867399279488
word_tfidf_4,word_tfidf_11,0.9975487912067755
word_tfidf_11,word_tfidf_13,0.9975487912067755
char_tfidf_0,word_tfidf_3,0.9968960230588749
book_斗破,word_tfidf_11,0.9961391514281523
book_斗破,word_tfidf_4,0.9935927703949372
book_斗破,word_tfidf_13,0.9935927703949372
char_tfidf_107,word_tfidf_89,0.9933389122179287
char_tfidf_83,word_tfidf_70,0.9932596373629743
word_tfidf_6,word_tfidf_7,0.9929444844261857
char_tfidf_121,word_tfidf_92,0.9927408567376931
char_tfidf_38,word_tfidf_43,0.992674833878966
char_tfidf_5,word_tfidf_10,0.9925198861160871
char_tfidf_115,word_tfidf_91,0.9915509870881102
char_tfidf_67,word_tfidf_60,0.9913053123241572
char_tfidf_58,word_tfidf_56,0.990878515317847
char_tfidf_24,word_tfidf_33,0.9908568315846872
char_tfidf_74,word_tfidf_64,0.9908077217323586
char_tfidf_65,word_tfidf_59,0.9908060296226013
char_tfidf_77,word_tfidf_66,0.9901737344868389
char_tfidf_36,word_tfidf_42,0.9900875673157086
char_tfidf_20,word_tfidf_25,0.9898763403330568
char_tfidf_29,word_tfidf_40,0.9895552565235517
char_tfidf_10,word_tfidf_16,0.9895173610794255
char_tfidf_81,word_tfidf_68,0.9894067834251439
char_tfidf_97,word_tfidf_84,0.9888806714584264
char_tfidf_86,word_tfidf_74,0.9883518642511969
char_tfidf_89,word_tfidf_76,0.988095029080381
char_tfidf_102,word_tfidf_86,0.9879794692209274
char_tfidf_55,word_tfidf_52,0.9879124409044499
char_tfidf_73,word_tfidf_63,0.9866693763530167
char_tfidf_21,word_tfidf_26,0.9851223911186578
char_tfidf_124,word_tfidf_94,0.9835842468312077
word_tfidf_9,word_tfidf_10,0.9816145875620551
char_tfidf_63,word_tfidf_58,0.9805075729521947
char_tfidf_62,word_tfidf_57,0.9803357916825161
char_tfidf_22,word_tfidf_28,0.979339683999346
char_tfidf_120,char_tfidf_121,0.9784560941496518
char_tfidf_91,word_tfidf_80,0.9773381379167086
char_tfidf_111,word_tfidf_90,0.9722685025962757
char_tfidf_5,word_tfidf_9,0.9718505929921837
char_tfidf_120,word_tfidf_92,0.9706281947098099
char_tfidf_25,word_tfidf_32,0.9641303556758031
char_tfidf_68,word_tfidf_61,0.9601019256450626
book_万相,char_tfidf_58,0.9590537629913378
word_tfidf_54,word_tfidf_55,0.9571271692558085
book_大主宰,word_tfidf_2,0.9569710019908538
book_大主宰,word_tfidf_1,0.9569710019908538
book_万相,word_tfidf_56,0.9564071669696417
char_tfidf_85,word_tfidf_73,0.9544917963595216
book_斗破,char_tfidf_83,0.9535512864268237
char_tfidf_105,word_tfidf_88,0.9530666739606479
book_武动,char_tfidf_62,0.9517829494925857
book_斗破,word_tfidf_70,0.9511867215367843
word_tfidf_2,word_tfidf_5,0.9504744264689701
word_tfidf_1,word_tfidf_5,0.9504744264689701
char_tfidf_83,word_tfidf_11,0.9477787221624695
word_tfidf_1,lsa_2,0.945140573089364
word_tfidf_2,lsa_2,0.945140573089364
char_tfidf_67,char_tfidf_115,0.9447835348144228
book_大主宰,lsa_2,0.9444116552500283
char_tfidf_83,word_tfidf_13,0.944094033588512
char_tfidf_83,word_tfidf_4,0.944094033588512
word_tfidf_11,word_tfidf_70,0.94252516574926
word_tfidf_60,word_tfidf_91,0.9410728333594577
char_tfidf_67,word_tfidf_91,0.9408804365032011
char_tfidf_82,word_tfidf_69,0.9408551180818545
word_tfidf_13,word_tfidf_70,0.9392129788158601
word_tfidf_4,word_tfidf_70,0.9392129788158601
book_武动,word_tfidf_57,0.9390069952712606
word_tfidf_34,word_tfidf_88,0.9332491306922481
lex_poss_hits,lex_poss_density,0.9325011807862891
book_万相,lsa_3,0.9320332710487753
book_元尊,char_tfidf_38,0.9297542400398013
question_per_1k,word_tfidf_95,0.9287493489898787
char_tfidf_115,word_tfidf_60,0.92856530135908
word_tfidf_5,lsa_2,0.9279892897561546
book_元尊,word_tfidf_43,0.9272333768098621
char_tfidf_106,char_tfidf_107,0.9224173817916603
word_tfidf_56,lsa_3,0.9193776138277301
char_tfidf_58,lsa_3,0.9190843647550822
word_tfidf_4,lsa_1,0.9164630507666133
word_tfidf_13,lsa_1,0.9164630507666133
book_斗破,lsa_1,0.915198226698065
char_tfidf_1,char_tfidf_9,0.9150601816105755
char_tfidf_106,word_tfidf_89,0.9150354412352262
word_tfidf_11,lsa_1,0.914639158159789
char_tfidf_17,word_tfidf_21,0.9114143376618173
char_tfidf_27,word_tfidf_36,0.9092506279025739
exclaim_per_1k,word_tfidf_82,0.9087911349034569
book_大主宰,word_tfidf_5,0.9078826948872556
char_tfidf_28,word_tfidf_39,0.8989512491694654
char_tfidf_44,word_tfidf_45,0.8959538111278874
char_tfidf_7,word_tfidf_3,0.8944426532449399
char_tfidf_108,char_tfidf_109,0.8935226821059705
word_tfidf_70,lsa_1,0.8903884702587032
char_tfidf_105,word_tfidf_34,0.8902003983018586
char_tfidf_83,lsa_1,0.8887304851134841
lex_ugc_hits,lex_ugc_density,0.8883844868469336
char_tfidf_0,char_tfidf_7,0.8856083793604033
char_tfidf_1,char_tfidf_3,0.8821834880558757
char_tfidf_79,char_tfidf_80,0.881592725784106
