book,chapter,paragragh,tag
万相,第二章 不想退婚的未婚妻,蒂法晴见状，俏脸上顿时有怒气涌现，不依不饶的跟了上来，道：“李洛，你就这么想癞蛤蟆吃天鹅肉吗？”不过李洛依旧充耳不闻，理也不理，倒是将她气得脸色铁青，旋即她快步跟上，道：“李洛，如果你不解除婚约，麻烦的只会是你，姜学姐越是优秀出色，你的麻烦就会越大，你父母失踪数年，连你们洛岚府如今都是风雨飘摇，所以你这个少府主身份，可没什么震慑力。”姜青娥看了李洛一眼，淡淡的道：“明天是你十七岁生日，另外洛岚府明日也有一些重要的事情需要在这里商议。”“今日刚到南风城，顺道来接你回家。”她的嗓音极为的好听，冷淡而清脆，如深山中的幽泉击打着玉石般。李洛点点头，他对于姜青娥这幅态度倒是并不奇怪，因为早就熟悉多年，知道她就是这个性格。“那走吧。”他说道，姜青娥在南风学府太受欢迎，站在这里简直就是能够感受到四周如刀锋般的视线。姜青娥螓首微点，不过她没有立即转身，而是将目光投向李洛后面那一脸激动的蒂法晴，道：“你叫做蒂法晴是吧？”蒂法晴激动的连忙点头，脸色涨红的道：“姜学姐，您竟然还记得我？”姜青娥平静的道：“我希望你以后不要再骚扰李洛了，否则的话，你那在圣玄星学府中的哥哥，我可能会着重的“照顾”他一下。”,1
万相,第十八章 初露峥嵘,刘阳望着对面那道身影，忍不住的一笑，道：“你的速度...有点...”砰！就在他声音刚落的那一瞬，前方的李洛，脚尖突然一点地面，整个人如飞鹰般加速，那瞬息间，隐隐有尖锐破风声响起。刘阳那嘴中的笑声，尚未完全的传出来，他眼前便是一花，李洛的身影竟然直接是出现在了他的面前。但紧随李洛身影而至的，还有着那一道破空棍影，棍影发出尖啸声，那速度之快，让得刘阳根本连一丝反应的时间都没有，不过关键时刻，他还是条件反射般的运转了一些相力，护在了胸膛之上。李洛那突然间的速度，虽然让人惊愕，但他毕竟没有相力，攻击力有限，只要他以相力将其防御下来，接下来就能够让李洛付出代价。在刘阳心中这般想着的时候，那棍影如黑蟒般点来，落在了其胸膛上。砰！低沉的闷声响起，再然后，剧痛自刘阳胸膛处传来，这一霎那，他的心中有惊骇涌起，因为他覆盖在胸膛处的相力，竟然在与李洛棍影接触的那一瞬，直接被摧枯拉朽般的撕裂了。同一时间，刘阳的身躯倒飞而出，重重的砸在了场外，还在地面上划出了几米的痕迹。而此时，场外的众多学员，诸多的笑闹声还未完全的落下，然后声音就这样突然间的戛然而止了下来。一院那些学员，愣愣的望着飞出场，然后痛的满地打滚的刘阳，眼中满是茫然之意。刚才，发生了什么？怎么飞出去的，不是李洛？他们有些疑惑的目光，投向了场中，此时的李洛，手中的铁棍保持着平击而出的姿势，他迎着那些目光，看向那刘阳，那帅得足以让对方自惭形秽的面庞上，露出一抹灿烂的笑容。“你说...有点什么？”,1
万相,第二十章 一穿三,而就在他们说话间，那贝锟突然爆发出怒吼之声，显然他同样察觉到了不对劲，眼前的李洛，明明相力看似并不算太强，可却宛如漩涡一般，一点点的将他纠缠住。另外不知为何，李洛的相力，总是给他一种异样的精纯感。不过不管如何，贝锟知道，不能继续这样下去了。他的眼中有凶光闪现，双掌陡然紧握铁枪，只见其双掌隐隐的化为了虎爪虚影，狂暴的相力暴涌而出。“高阶相术，牙刺！” 贝锟一步踏出，手中铁枪如凶暴之虎般洞穿而出，直接是撕裂了那一重重的连绵水相之力，直指其后的李洛。李洛望着那呼啸而来，宛如獠牙利齿般的枪芒，手中铁棍上，重重叠加的水相之力，也是轰然爆发，宛如巨浪砸落。枪棍竟并未碰撞，反而是交错而过，直指对方。“你找死！” 贝锟面露狰狞，眼中凶光一闪，那铁枪毫不犹豫的就捅了下去，只是，在那一霎那，他见到那铁棍之上蓝色相力闪烁间，隐隐的，仿佛有刺目之光，引得他眼睛虚眯了一下。下一瞬，贝锟眼瞳突然一缩，因为他发现自己那捅向李洛的枪尖，竟是落空了，出现在了李洛肩膀上方寸许的位置。“完了。” 贝锟心头一寒，他不明白他怎么会出现这种纰漏，他那一枪，明明能捅中李洛肩窝的。可这个时候，已经来不及有任何的反应，因为李洛那蕴含着重力的铁棍已是呼啸而至，直接砸在了他的脸庞之上。噗嗤！一口鲜血混杂着牙齿喷射而出，惨叫声响起，贝锟的身影顿时倒飞而出，重重的砸在了场外。贝锟的惨叫声在场中回荡。,1
万相,第二十八章 李洛的第一瓶灵水奇光,而就在颜灵卿承受的压力越来越大时，这气氛近乎凝固的一品炼制室中，突然有着一道蓝光陡然爆发而起。突如其来的变故，让得所有人都是一脸的错愕，然后目光顺着望去，就见到了在那后面的一处炼制台前，李洛手握着一瓶碧青色的液体，面露欣喜之意。他人生中的第一瓶灵水奇光，就在这个局面下，炼制出来了。而在炼制出了这瓶“碧青灵水”后，李洛也是顺手取过一旁的验淬针，插入到了其中。然后他就见到指针开始迅速的攀爬起来。数息后，指针直接是停留在了六成的位置上。哗！附近的一些一品淬相师清楚的看见了这一幕，然后他们便是忍不住的爆发出了惊骇的哗然声。一道道人影更是忍不住的冲了过来，失声道：“六成淬炼力？！！少府主炼制出来的这瓶“碧青灵水”竟然达到了六成的淬炼力？！！”“怎么可能？！”一品炼制室内，听到这惊呼声的人，顿时满脸的不可思议，然后再不顾颜灵卿与庄毅的争斗，一窝蜂的对着李洛所在涌了过来。而当他们在看见那验淬针上面的指数时，一时间就失声了，一道道目光蕴含着震撼的转向嘴角含笑的李洛。他们可是很清楚李洛才学习了淬相术不过两周左右的时间，然而在这么短暂的时间中，他不仅成功的炼制出了一品的灵水奇光，而且最让人感到难以置信的是，这灵水奇光的淬炼力，竟然这么高！这究竟是何等的天赋？,1
万相,第三十章 虞浪,虞浪眼中有兴奋之色涌现而出，下一刻，青色相力暴涌，他身影如风般的暴射而出，速度直接是在这一刻爆发到了极致。可就在他速度爆发的那一霎那，他突然感觉到自己的身躯有些失去了平衡感，整个人都莫名的腾空了起来。虞浪面色大变的低头，然后就见到，在他的双脚处，不知何时，缠绕上了一道淡淡的蓝色相力。那蓝色相力，宛如是水蛇般，将他的双脚都缠在一起，而正因为如此，他速度爆发时，方才会身躯失去了平衡。“这是...”虞浪瞳孔紧缩。面前的李洛，望着失去平衡飞过来的虞浪，露出了笑容：“低阶相术，水蛇。”“虞浪，你大意了。”说话的同时，李洛一步踏出，双掌横推而出，水相之力涌动时，仿佛是带起了波涛之声。“你虽然不会再被裤子太长而绊倒，但是，你会被我的水蛇所绊倒。”在李洛的声音中，那双掌直接是落在了虞浪胸膛之上。“我操，李洛，你耍诈！”虞浪大骂。轰！大骂中，他的身躯直接是倒飞了出去，最终重重的砸落在了场外。而在跌落的那一瞬，一口鲜血从虞浪嘴中喷出了三丈高，大量的鲜血从他的衣服下涌了出来，转瞬就将他化为了血人，引得周围一阵惊慌。,1
万相,第三十三章 鸡蛋碰石头,在那众人惊呼间，宋云峰已是扑至李洛前方，他望着那道薄薄水幕，眼中有冷笑之意掠过，虽然李洛精通诸多相术，但如果以为一道水镜术就能够防住他，那也真是太天真了。心念闪过，宋云峰再度加强了一分力量，拳影呼啸而出，宛如赤雕在尖鸣。不过，就在即将击中那层薄薄水幕的时候，宋云峰似是隐约的见到，在那如镜面般的水幕中，仿佛是有一道模糊的赤光折射而现，那似乎是一道人影，同样是挥拳而出，最后与他的拳头同时的轰在了水幕的内外面。轰！那一刻，有低沉闷声响起。相力冲击卷起灰尘，四面飞散。李洛身躯一震，再度倒退了两步，半只脚都悬在了战台外，但没有人关注这一点，因为所有人都是惊愕的见到，宋云峰的身影在此时宛如是遭受到了一股神秘巨力的反击，他的身影有些狼狈的倒射而出数十步，方才踉跄的稳住。抬起头来时，面庞上满是震惊。他，竟然被击退了？！为什么，李洛那水镜术反弹回来的力量，竟然会这么的强？先前那反弹而来的力量，几乎达到了宋云峰攻出去的将近七成力道！这根本就不可能是普通的水镜术能够做到的程度！哗。在那四周响起连绵不尽的哗然，震惊声音时，宋云峰面色阴晴不定，目光狠狠的盯着李洛,1
万相,第六十二章 冰玉手,吕清儿见状，也是暗叹了一口气，面无表情的望着走近的师箜，虽然很是不甘心，但心中也只能无奈的选择放弃。“你的积分，我就笑纳了。”师箜伸出手，就要对着吕清儿胸前的晶牌抓去。咻咻！而也就是在这一霎那，在那前方突然有着十数颗光球暴射而至，直接是在师箜与吕清儿之间爆炸开来。刺目的强光爆发。突如其来的袭击，让得师箜都是愣了一瞬，双目刺痛，但他还是迅速的伸手对着前方的吕清儿抓去。但这一抓，却是落了空。他心头一惊，急忙睁开刺痛的眼睛，然后就见到一道人影横抱住了吕清儿，迅速的跃进了废墟中，光芒闪烁间，直接是消失不见了。师箜勃然大怒，身影暴射而出，试图追击，可翻过断壁处，四周却是不见半个人影。师箜面庞上的笑意在此时尽数的散去，取而代之的是无尽的阴沉。先前那道人影虽然躲得极快，但师箜还是将其给认了出来。“该死的李洛！竟敢坏我好事！”有蕴含着狂暴怒气的声音，从师箜的牙缝中缓缓的冒了出来。,1
万相,第六十七章 李洛要开始装了,而就是在同一时刻，地形复杂的废墟中，宋云峰也是在迅速的对着师箜的方向赶去。但当他转过一处断墙时，突有破风声扑面而来，一柄闪烁着寒光的刀锋裹挟着蓝色相力对着面门狠狠的劈斩了下来。突如其来的袭击，让得宋云峰面色一变，电光火石间，也就明白了一切。旋即，他的眼神陡然阴寒下来。“你真当我是软柿子吗？”“李洛，我今天就要让你知道，上一次的平局，你究竟有多...”暴喝之中，宋云峰手中银枪一抖，自身相力毫无保留的涌动起来，枪光如龙，炽热狂暴，宛如凶雕长鸣，与那劈斩而下的刀光正面碰撞。铛！金铁之声响起。相力冲击，震得附近的断壁都是震动了一下，灰尘簌簌的掉落下来。而宋云峰的面色，则是在碰撞那一霎那变得极其难看起来，惊人的力量自长枪上倾泻而至，宛如重重涛浪，连绵不尽。砰！于是，宋云峰的身躯就狼狈的倒飞了出去，重重的撞在了残破的墙壁上。“...幸...运？”而此时，他那最后有些变调的声音，方才刚刚落下。,1
万相,第六十八章 李洛想装大的,宋云峰连忙抵挡，那一刀上面蕴含的相力，将他直接震得单膝都是跪了下去，当即愤怒的咆哮道：“你耍我？！”“真聪明，竟然这都被你看穿了。”李洛赞叹笑道，旋即一道腿影如鞭般直接踹在了宋云峰胸膛上，一脚就将他送飞而出，滚得满脸都是泥。而还不待宋云峰站起来，李洛又是冲了出去，凌厉刀光宛如裹挟着涛浪之声，将宋云峰笼罩而进。宋云峰无比憋屈，如今的李洛踏入八印，相力等级并不弱于他，然而这混蛋还搞这些小手段，直接把他压得连喘息的机会都没有。简直贱得没有一点洛岚府少府主的身段！在李洛连绵刀锋之下，宋云峰很快就开始挂彩，身体上鲜血流淌出来，看得极为的凄惨。而他也知晓不能继续这样下去了，当即一声怒吼，自身相力尽数爆发，赤红枪芒闪电般的对着前方的李洛重重横扫而去。李洛见状，手掌一抬，似是有水光于面前若隐若现，同时大吼道：“大反弹术！”听到这吼声，宋云峰就想起了预考之上被李洛那诡异水镜术反弹出心理阴影的一幕，而那个时候的李洛，还只是六印，眼下对方相力不弱于他，那施展出来的水镜术反弹之力岂不是更凶残？于是宋云峰忙不迭的收敛了力道。可当他相力收敛时，却是惊愕的发现李洛面前根本就没有水镜出现，反而是后者那帅得让人自惭形秽的面庞上，冲着他露出了一抹灿烂笑容。“骗你的。”,1
万相,第七十章 李洛的箭,李洛眼神平静的望着急退的师箜，你的雷相之力的确擅长速度，可是你再快，能快得过光载着的水吗？弓弦如满月，李洛扣住弓弦的手指猛然松开。嗡！那一瞬，似是有低低的嗡鸣声响起。所有人都是见到有一道流光自半空中疾射而过，但却几乎难以看见其飞行轨迹。轰！流光箭矢飞出，师箜浑身汗毛都是倒竖了起来，一身暴喝：“雷步！”脚下仿佛有雷光闪现，他的速度催动到了极致。然而，一切都没有用。师箜仅仅只能见到一道流光自视野中划过，再然后，他见到了阻挡在前方的墙壁上，突然出现了一个孔洞，有夕阳之光从孔洞中照射出来。危急关头，师箜咆哮出声，体内相力尽数运转，长枪如雷龙般暴射而出，轰向了前方。叮！清脆之声紧接着响起，然后师箜便是瞳孔紧缩的见到，那一柄缠绕着雷相之力的长枪直接是在此时从中间分裂开来。一道流光箭矢自破碎长枪中射出，仅仅数个呼吸间，就在师箜惊骇欲绝的目光中，自他伸出的左掌中，洞穿而进。所谓的狂雷之铠，仅仅坚持了一息不到，就直接被洞穿击碎。啊！凄厉的惨叫声响起。师箜左臂鲜血狂涌，整个人如遭重击般的倒射而出，重重的撞在了残垣断壁上，一口鲜血狂喷而出。整个白灵山内外仿佛都是陡然间安静了下来。,1
